"ID","CN","CAPT","SRC","OUTERID","SCORE"
"f905b3e5-9654-4d9e-a6da-df3a51504cc5","South Korea","Seoul","GN","5a8d74d6-c25e-4845-857a-f2b371969e64","7.8365097"
"4a737cd0-f33f-4457-a9a4-823db515d612","Kuwait","Kuwait City","GN","952b6a91-748f-4b3b-9099-4091044993c0","9.53792"
"b161850b-f2e0-46eb-9e56-af5d5364c2f2","Cayman Islands","George Town","GN",,
"bfc556cb-050a-44cb-bf5a-8f293431429c","Kazakhstan","Nur-Sultan","GN",,
"b083df9e-69dc-4b23-9707-348da2064f34","Laos","Vientiane","GN","5c08b706-ee02-4144-99c5-4eb100539580","6.975851"
"93b77ab6-8e8a-4603-8e97-4b6f2be8f9bb","Lebanon","Beirut","GN","b242f7c4-c849-49f2-a0b6-30829ca4ca48","9.742651"
"5a42cd20-d43b-4a2a-aa9a-e354d875dcd0","Saint Lucia","Castries","GN","de59cf0c-f428-4b32-af19-aec0c1f4021b","8.184242"
"4c4f2407-f2b2-4b29-9004-3a804c3b069e","Liechtenstein","Vaduz","GN","1d30635a-470d-43b1-bc82-33e02336fa77","8.636415"
"6931af56-d118-4f7a-b668-58b23c3631e1","Sri Lanka","Colombo","GN","9e8a4c9f-5f58-4bcd-a467-a0429cfd7e68","10.411401"
"e4b42a95-089a-401a-9b26-7f433fad2fcb","Liberia","Monrovia","GN","efaf3f93-7fa7-4279-9cfc-59a3a7126b03","9.713965"
"66434403-6270-4baa-b4ba-cc31d844bd69","Lesotho","Maseru","GN","bb054350-c913-4bc4-8b62-7f128503ed56","8.52935"
"c50665a1-c35a-404f-aa54-11b5a2d2b26a","Lithuania","Vilnius","GN","e8bb058a-9606-48e8-979a-a6828eaee996","9.8091545"
"16240f19-db9d-453d-8123-725eeb731d74","Luxembourg","Luxembourg","GN","af78f7bf-c17f-43f6-babf-b4f987c760da","9.850367"
"62625c12-d636-4384-8d18-2bd72592f9be","Latvia","Riga","GN","fb1d0063-6b76-400a-a44b-7a48ff3c500e","9.8091545"
"9f4b0f9a-53a8-4239-b856-6798de18d7d5","Libya","Tripoli","GN","e44e9572-ad2e-49de-b4d9-ffefb5405bd1","8.53639"
"0a0b79b1-fd51-4574-bb48-17e5c380ea16","Morocco","Rabat","GN","42ad1d00-72a7-442a-95c4-1c5811a5ea35","8.53639"
"b1b0c57c-ea09-49e8-8786-2bc2466f032e","Monaco","Monaco","GN","62e741c8-ba95-4e0e-bfad-d0428b66ba20","9.8091545"
"dab9f865-8a4d-4783-bd73-6e7458798354","Moldova","Chisinau","GN","54d279f3-c052-4449-bede-27a976cc6968","9.8091545"
"00ecf711-9a1c-4702-a16b-e5dd2812c03c","Montenegro","Podgorica","GN","ccb6de8d-9dcc-449f-928a-a9354ffa46c5","9.8091545"
"bc24e3ee-4749-4147-977c-7245095f36e0","Saint Martin","Marigot","GN",,
"5dabe25b-9588-400f-98a0-e1ba68f374e7","Madagascar","Antananarivo","GN","bf250e5e-3402-4c3d-8e97-f0143f6cd038","9.713965"
